Servicedescription;Totalsales;Giorni Prenotazione;Compagnia;Travel From;Travel To;Tipoviaggio
Auto;268,36;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;300;4;OROLOGIO;FERRARA;FERRARA;No_Tipoviaggio
Auto;174,8;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;132,11;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;131,1;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;477,51;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;244,5;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;71,1;1;IH HOTEL ROMA Z3;ROMA;ROMA;No_Tipoviaggio
Auto;150,16;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;607,5;5;PRESIDENT;VENEZIA;VENEZIA;No_Tipoviaggio
Auto;100,15;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;97,42;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;158;2;IH HOTEL ROMA Z3;ROMA;ROMA;No_Tipoviaggio
Auto;66,55;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;320;4;VILLA TIRRENO;TARQUINIA;TARQUINIA;No_Tipoviaggio
Auto;239,3;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;320;4;VILLA TIRRENO;TARQUINIA;TARQUINIA;No_Tipoviaggio
Auto;99,63;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;128,69;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;280;4;TESORETTO HOTEL;POGGIARDO;POGGIARDO;No_Tipoviaggio
Auto;311,5;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;335,85;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;89,02;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;204,29;0;EUROPCAR ITALIA SPA;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;81,23;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;80;1;VILLA TIRRENO;TARQUINIA;TARQUINIA;No_Tipoviaggio
Hotel;-80;1;VILLA TIRRENO;TARQUINIA;TARQUINIA;No_Tipoviaggio
Hotel;74;1;DOMIDEA;ROMA;ROMA;No_Tipoviaggio
Auto;44,87;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;240;3;VILLA TIRRENO;TARQUINIA;TARQUINIA;No_Tipoviaggio
Hotel;160;2;VILLA TIRRENO;TARQUINIA;TARQUINIA;No_Tipoviaggio
Hotel;-240;3;VILLA TIRRENO;TARQUINIA;TARQUINIA;No_Tipoviaggio
Hotel;240;3;IL GRILLO;ASSEMINI;ASSEMINI;No_Tipoviaggio
Auto;78,41;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;431,2;4;RELAIS VILLA CORNER;VEDELAGO;VEDELAGO;No_Tipoviaggio
Hotel;62;1;IL VIANDANTE;TERRANUOVA BRAC;TERRANUOVA BRAC;No_Tipoviaggio
Hotel;160;2;VILLA TIRRENO;TARQUINIA;TARQUINIA;No_Tipoviaggio
Hotel;142;2;BEST WESTERN PALACE;FERRARA;FERRARA;No_Tipoviaggio
Auto;114,97;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;182,93;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;284;4;HOTEL SVEVO;GIOIA DEL COLLE;GIOIA DEL COLLE;No_Tipoviaggio
Auto;153,35;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;174,8;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;243,9;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;88;1;LA FAVORITA;MANTOVA;MANTOVA;No_Tipoviaggio
Hotel;153;2;BEST WESTERN NETTUNI;RIMINI;RIMINI;No_Tipoviaggio
Auto;339,4;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;218,49;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;240,68;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;300;3;SPACE KATANE PALACE;CATANIA;CATANIA;No_Tipoviaggio
Hotel;-210;3;TESORETTO HOTEL;POGGIARDO;POGGIARDO;No_Tipoviaggio
Hotel;80;1;PETRARCA;MONTEGROTTO TER;MONTEGROTTO TER;No_Tipoviaggio
Hotel;180;2;SPACE KATANE PALACE;CATANIA;CATANIA;No_Tipoviaggio
Hotel;936;8;HOTEL MEDITERRANEE T;TAORMINA;TAORMINA;No_Tipoviaggio
Hotel;360;4;SPACE KATANE PALACE;CATANIA;CATANIA;No_Tipoviaggio
Hotel;108;1;SPACE KATANE PALACE;CATANIA;CATANIA;No_Tipoviaggio
Hotel;79;1;ALLA TERRAZZA;MONFALCONE;MONFALCONE;No_Tipoviaggio
Hotel;79;1;ALLA TERRAZZA;MONFALCONE;MONFALCONE;No_Tipoviaggio
Hotel;-79;1;ALLA TERRAZZA;MONFALCONE;MONFALCONE;No_Tipoviaggio
Hotel;230;2;HOTEL 3 BOTTI;ARZACHENA;ARZACHENA;No_Tipoviaggio
Auto;275,78;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;135;2;MISTRAL 2 HOTEL;ORISTANO;ORISTANO;No_Tipoviaggio
Hotel;-135;2;MISTRAL 2 HOTEL;ORISTANO;ORISTANO;No_Tipoviaggio
Hotel;75;1;HOTEL LANCASTER TORI;TORINO;TORINO;No_Tipoviaggio
Hotel;62;1;PICCOLO RITZ;PISTOIA;PISTOIA;No_Tipoviaggio
Hotel;75;1;DATINI;PRATO;PRATO;No_Tipoviaggio
Hotel;170;2;HOTEL MINERVA AREZZO;AREZZO;AREZZO;No_Tipoviaggio
Hotel;-75;1;HOTEL LANCASTER TORI;TORINO;TORINO;No_Tipoviaggio
Hotel;-62;1;PICCOLO RITZ;PISTOIA;PISTOIA;No_Tipoviaggio
Hotel;-75;1;DATINI;PRATO;PRATO;No_Tipoviaggio
Hotel;-170;2;HOTEL MINERVA AREZZO;AREZZO;AREZZO;No_Tipoviaggio
Hotel;146,4;2;IDEAL PARK;LAIVES;LAIVES;No_Tipoviaggio
Hotel;100;2;HOTEL RISTORANTE ALB;ZOPPOLA;ZOPPOLA;No_Tipoviaggio
Auto;246,73;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;135;3;HOTEL RISTORANTE ALB;ZOPPOLA;ZOPPOLA;No_Tipoviaggio
Auto;104,38;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;112,66;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;85,47;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;115;1;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Auto;262,84;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;49,28;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;56,6;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;116,9;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;81;1;HOTEL SVEVO;GIOIA DEL COLLE;GIOIA DEL COLLE;No_Tipoviaggio
Hotel;71;1;HOTEL SVEVO;GIOIA DEL COLLE;GIOIA DEL COLLE;No_Tipoviaggio
Hotel;160;2;GRAND HOTEL DUCA D E;TIVOLI;TIVOLI;No_Tipoviaggio
Hotel;120;2;LA LA BAITA;MALBORGHETTO VA;MALBORGHETTO VA;No_Tipoviaggio
Auto;244,34;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;309,96;3;SANTA BARBARA;MILANO;MILANO;No_Tipoviaggio
Hotel;148;2;DOMIDEA;ROMA;ROMA;No_Tipoviaggio
Hotel;90;1;HOTEL RISTORANTE CAL;CAGLIARI;CAGLIARI;No_Tipoviaggio
Hotel;69;1;DOMIDEA;ROMA;ROMA;No_Tipoviaggio
Hotel;162;2;SANTA BARBARA;MILANO;MILANO;No_Tipoviaggio
Auto;87,4;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;164,05;0;EUROPCAR ITALIA SPA;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;141,93;0;EUROPCAR ITALIA SPA;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;195,59;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;304,45;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;300;3;HOTEL CORSO;ALASSIO;ALASSIO;No_Tipoviaggio
Auto;339,94;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;273,19;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;137,38;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;176;2;GARDEN;ALASSIO;ALASSIO;No_Tipoviaggio
Auto;121,78;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;139,87;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;317,32;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;196,21;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;300,27;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;228,21;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;59;1;BELLA ITALIA PALACE;NOVARA;NOVARA;No_Tipoviaggio
Hotel;85,5;1;BEST WESTERN LA DI M;UDINE;UDINE;No_Tipoviaggio
Hotel;136;2;KOLPINGHAUS BOLZANO;BOLZANO;BOLZANO;No_Tipoviaggio
Hotel;210;2;BUONCONSIGLIO;TRENTO;TRENTO;No_Tipoviaggio
Hotel;-136;2;KOLPINGHAUS BOLZANO;BOLZANO;BOLZANO;No_Tipoviaggio
Auto;444,12;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;174,8;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;343,17;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;80,1;1;EURO;IMOLA;IMOLA;No_Tipoviaggio
Hotel;79;1;CDH HOTEL VILLA DUCA;PARMA;PARMA;No_Tipoviaggio
Hotel;85,5;1;BEST WESTERN HOTEL S;BOLOGNA;BOLOGNA;No_Tipoviaggio
Auto;122;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;220;2;DEI FIORI;ALASSIO;ALASSIO;No_Tipoviaggio
Auto;250,2;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;330;3;DEI FIORI;ALASSIO;ALASSIO;No_Tipoviaggio
Auto;89,02;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;106,2;2;IDEA HOTEL ROMA NOME;ROMA;ROMA;No_Tipoviaggio
Hotel;220;2;IH HOTEL ROMA Z3;ROMA;ROMA;No_Tipoviaggio
Hotel;-106,2;2;IDEA HOTEL ROMA NOME;ROMA;ROMA;No_Tipoviaggio
Auto;111,45;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;102;1;IH HOTEL ROMA Z3;ROMA;ROMA;No_Tipoviaggio
Hotel;-102;1;IH HOTEL ROMA Z3;ROMA;ROMA;No_Tipoviaggio
Hotel;72;1;IH HOTEL ROMA Z3;ROMA;ROMA;No_Tipoviaggio
Hotel;72;1;IH HOTEL ROMA Z3;ROMA;ROMA;No_Tipoviaggio
Hotel;64;1;HOTEL SPESSOTTO;PORTOGRUARO;PORTOGRUARO;No_Tipoviaggio
Auto;155,66;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;58,45;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;80;1;KRIZMAN;MONRUPINO;MONRUPINO;No_Tipoviaggio
Hotel;80;1;KRIZMAN;MONRUPINO;MONRUPINO;No_Tipoviaggio
Hotel;-80;1;KRIZMAN;MONRUPINO;MONRUPINO;No_Tipoviaggio
Auto;117,41;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;30;2;RESIDENCE DEGLI AGRU;TAORMINA;TAORMINA;No_Tipoviaggio
Hotel;119;1;MERCURE PALERMO CENT;PALERMO;PALERMO;No_Tipoviaggio
Hotel;105;1;SIRENETTA;ISOLA DELLE FEM;ISOLA DELLE FEM;No_Tipoviaggio
Hotel;59;1;MERCURE PALERMO CENT;PALERMO;PALERMO;No_Tipoviaggio
Hotel;105;1;SIRENETTA;ISOLA DELLE FEM;ISOLA DELLE FEM;No_Tipoviaggio
Auto;197,55;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;80;1;KRIZMAN;MONRUPINO;MONRUPINO;No_Tipoviaggio
Hotel;80;1;KRIZMAN;MONRUPINO;MONRUPINO;No_Tipoviaggio
Hotel;-80;1;KRIZMAN;MONRUPINO;MONRUPINO;No_Tipoviaggio
Hotel;207;2;PRESIDENT;VENEZIA;VENEZIA;No_Tipoviaggio
Auto;506,91;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;80;1;GRAND HOTEL DUCA D E;TIVOLI;TIVOLI;No_Tipoviaggio
Hotel;80;1;GRAND HOTEL DUCA D E;TIVOLI;TIVOLI;No_Tipoviaggio
Auto;244,11;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;497,21;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;106,4;1;NH LAGUNA PALACE;VENEZIA;VENEZIA;No_Tipoviaggio
Hotel;180;3;LA LA BAITA;MALBORGHETTO VA;MALBORGHETTO VA;No_Tipoviaggio
Hotel;383;2;BEST WESTERN PREMIER;QUINTO DI TREVI;QUINTO DI TREVI;No_Tipoviaggio
Hotel;232,5;2;BEST WESTERN BLU HOT;ROMA;ROMA;No_Tipoviaggio
Hotel;-116,25;1;BEST WESTERN BLU HOT;ROMA;ROMA;No_Tipoviaggio
Hotel;178;2;BEST WESTERN BLU HOT;ROMA;ROMA;No_Tipoviaggio
Hotel;936;8;HOTEL MEDITERRANEE T;TAORMINA;TAORMINA;No_Tipoviaggio
Hotel;75,5;1;BEST WESTERN BLU HOT;ROMA;ROMA;No_Tipoviaggio
Hotel;345;3;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Hotel;229,8;2;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Auto;217,18;0;EUROPCAR ITALIA SPA;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;164,19;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;-260;2;DEI FIORI;ALASSIO;ALASSIO;No_Tipoviaggio
Hotel;340;4;ROSA SPA  WELLNESS B;ALASSIO;ALASSIO;No_Tipoviaggio
Hotel;200;2;AIDA SAS DI IERIA F;ALASSIO;ALASSIO;No_Tipoviaggio
Auto;339,4;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;160;2;BW HOTEL PARCO PAGLI;CHIETI;CHIETI;No_Tipoviaggio
Auto;229,36;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;99,63;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;124;2;ETRUSCAN CHOCOHOTEL;PERUGIA;PERUGIA;No_Tipoviaggio
Hotel;100;2;HOTEL RISTORANTE ALB;ZOPPOLA;ZOPPOLA;No_Tipoviaggio
Hotel;180;3;IL VIANDANTE;TERRANUOVA BRAC;TERRANUOVA BRAC;No_Tipoviaggio
Hotel;-165;3;IL VIANDANTE;TERRANUOVA BRAC;TERRANUOVA BRAC;No_Tipoviaggio
Hotel;311;4;IL VIANDANTE;TERRANUOVA BRAC;TERRANUOVA BRAC;No_Tipoviaggio
Hotel;-291;4;IL VIANDANTE;TERRANUOVA BRAC;TERRANUOVA BRAC;No_Tipoviaggio
Hotel;246;4;IL VIANDANTE;TERRANUOVA BRAC;TERRANUOVA BRAC;No_Tipoviaggio
Hotel;180;3;IL VIANDANTE;TERRANUOVA BRAC;TERRANUOVA BRAC;No_Tipoviaggio
Hotel;60;1;IL VIANDANTE;TERRANUOVA BRAC;TERRANUOVA BRAC;No_Tipoviaggio
Auto;200,23;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;74;1;DOMIDEA;ROMA;ROMA;No_Tipoviaggio
Hotel;-74;1;DOMIDEA;ROMA;ROMA;No_Tipoviaggio
Hotel;-74;1;DOMIDEA;ROMA;ROMA;No_Tipoviaggio
Hotel;106,4;1;NH LAGUNA PALACE;VENEZIA;VENEZIA;No_Tipoviaggio
Hotel;187,2;2;CRUISE HOTEL - UI;MONTANO LUCINO;MONTANO LUCINO;No_Tipoviaggio
Hotel;120;2;EXCELSIOR;MONFALCONE;MONFALCONE;No_Tipoviaggio
Hotel;74;1;DOMIDEA;ROMA;ROMA;No_Tipoviaggio
Hotel;-74;1;DOMIDEA;ROMA;ROMA;No_Tipoviaggio
Hotel;213;3;BEST WESTERN PALACE;FERRARA;FERRARA;No_Tipoviaggio
Hotel;88;1;LA FAVORITA;MANTOVA;MANTOVA;No_Tipoviaggio
Hotel;153;2;BEST WESTERN NETTUNI;RIMINI;RIMINI;No_Tipoviaggio
Auto;461,06;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;78;1;HOTEL CATINACCIO ROS;MOENA;MOENA;No_Tipoviaggio
Hotel;160;2;BW HOTEL PARCO PAGLI;CHIETI;CHIETI;No_Tipoviaggio
Hotel;65;1;ETRUSCAN CHOCOHOTEL;PERUGIA;PERUGIA;No_Tipoviaggio
Hotel;99,6;1;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Hotel;120;2;LA LA BAITA;MALBORGHETTO VA;MALBORGHETTO VA;No_Tipoviaggio
Hotel;124;2;ETRUSCAN CHOCOHOTEL;PERUGIA;PERUGIA;No_Tipoviaggio
Hotel;244,2;2;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Hotel;-244,2;2;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Hotel;221,7;2;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Hotel;240;4;LA LA BAITA;MALBORGHETTO VA;MALBORGHETTO VA;No_Tipoviaggio
Hotel;180;3;LA LA BAITA;MALBORGHETTO VA;MALBORGHETTO VA;No_Tipoviaggio
Hotel;60;1;LA LA BAITA;MALBORGHETTO VA;MALBORGHETTO VA;No_Tipoviaggio
Hotel;115;1;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Hotel;221,7;2;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Hotel;50;1;HOTEL RISTORANTE ALB;ZOPPOLA;ZOPPOLA;No_Tipoviaggio
Hotel;85;1;VILLA TORLONIA;ROMA;ROMA;No_Tipoviaggio
Hotel;83,5;1;VILLA TORLONIA;ROMA;ROMA;No_Tipoviaggio
Hotel;85;1;BRAM HOTEL;LAMEZIA TERME;LAMEZIA TERME;No_Tipoviaggio
Hotel;143;1;BEST WESTERN PRESIDE;ROMA;ROMA;No_Tipoviaggio
Hotel;-143;1;BEST WESTERN PRESIDE;ROMA;ROMA;No_Tipoviaggio
Hotel;98,1;1;IH HOTEL ROMA Z3;ROMA;ROMA;No_Tipoviaggio
Hotel;75;1;IH HOTEL ROMA Z3;ROMA;ROMA;No_Tipoviaggio
Hotel;114,9;1;MERCURE ROMA PIAZZA;ROMA;ROMA;No_Tipoviaggio
Hotel;100;1;SPACE KATANE PALACE;CATANIA;CATANIA;No_Tipoviaggio
Hotel;480;8;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Auto;99,63;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;402,5;7;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Hotel;-385;7;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Hotel;402,5;7;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Hotel;-385;7;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Hotel;402,5;7;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Hotel;-385;7;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Hotel;480;8;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Auto;137,74;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;402,5;7;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Hotel;-385;7;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Auto;44,7;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;480;8;CASA MIA;ARZACHENA;ARZACHENA;No_Tipoviaggio
Hotel;115;1;HOTEL 3 BOTTI;ARZACHENA;ARZACHENA;No_Tipoviaggio
Hotel;94,5;1;IDEAL PARK;LAIVES;LAIVES;No_Tipoviaggio
Hotel;80,5;1;B&B DARMSTADT;DARMSTADT;DARMSTADT;No_Tipoviaggio
Hotel;89,9;1;IBIS ORLY AEROPORT;PARAY VIEILLE P;PARAY VIEILLE P;No_Tipoviaggio
Hotel;588,2;4;BILDERBERG EUROPA;THE HAGUE;THE HAGUE;No_Tipoviaggio
Hotel;1513,96;11;LAMANTIN BEACH HOTEL;SALY PORTUDAL;SALY PORTUDAL;No_Tipoviaggio
Hotel;405,48;3;BEST WESTERN PLUS DE;LA TESTE DE BUC;LA TESTE DE BUC;No_Tipoviaggio
FFSS;52,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;52,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
Auto;30,5;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;109,8;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;109,8;1;FFSS;ROMA;MILANO;No_Tipoviaggio
Aereo;242,68;1;AZ;TORINO;FIUMICINO;OW
Hotel;1084,33;6;HILTON LONDON METROP;LONDRA;LONDRA;No_Tipoviaggio
Hotel;821,43;9;HOTEL TUGU MALANG;MALANG;MALANG;No_Tipoviaggio
Auto;50;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;88,4;1;IBIS ORLY AEROPORT;PARAY VIEILLE P;PARAY VIEILLE P;No_Tipoviaggio
Auto;50;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;30,5;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;30,5;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;407,7;3;DOUBLETREE BY HILTON;ORLANDO;ORLANDO;No_Tipoviaggio
Hotel;441,48;3;BEST WESTERN PLUS DE;LA TESTE DE BUC;LA TESTE DE BUC;No_Tipoviaggio
Hotel;90,65;1;IBIS STYLES BORDEAUX;MERIGNAC;MERIGNAC;No_Tipoviaggio
Hotel;298,29;3;MONTANA''S AZULES AP;MENDOZA;MENDOZA;No_Tipoviaggio
Auto;1052,56;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;1084,33;6;HILTON LONDON METROP;LONDRA;LONDRA;No_Tipoviaggio
Auto;50;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;722,89;4;HILTON LONDON METROP;LONDRA;LONDRA;No_Tipoviaggio
Hotel;38,98;1;HOLIDAY INN EXP & SU;FT. WORTH;FT. WORTH;No_Tipoviaggio
FFSS;68,4;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
FFSS;24,3;1;FFSS;RIMINI;BOLOGNA;No_Tipoviaggio
FFSS;24,3;1;FFSS;BOLOGNA;RIMINI;No_Tipoviaggio
FFSS;68,4;1;FFSS;ROMA;BOLOGNA;No_Tipoviaggio
FFSS;52,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;52,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;39,5;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;39,5;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
Hotel;950,16;12;MONTANA''S AZULES AP;MENDOZA;MENDOZA;No_Tipoviaggio
Hotel;725,31;4;HILTON LONDON METROP;LONDRA;LONDRA;No_Tipoviaggio
Hotel;1084,33;6;HILTON LONDON METROP;LONDRA;LONDRA;No_Tipoviaggio
FFSS;114,3;1;FFSS;TORINO;ROMA;No_Tipoviaggio
FFSS;114,3;1;FFSS;ROMA;TORINO;No_Tipoviaggio
FFSS;114,3;1;FFSS;ROMA;TORINO;No_Tipoviaggio
FFSS;114,3;1;FFSS;TORINO;ROMA;No_Tipoviaggio
FFSS;105,3;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;105,3;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
Hotel;38,98;1;HOLIDAY INN EXP & SU;FT. WORTH;FT. WORTH;No_Tipoviaggio
FFSS;52,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;52,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;52,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;52,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;52,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;52,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;52,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;4,75;1;FFSS;BOLOGNA;FERRARA;No_Tipoviaggio
FFSS;58;1;FFSS;ROMA;BOLOGNA;No_Tipoviaggio
FFSS;58;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
FFSS;4,75;1;FFSS;FERRARA;BOLOGNA;No_Tipoviaggio
FFSS;11,6;1;FFSS;ROMA;BOLOGNA;No_Tipoviaggio
